,brand,total_ratings,item,score
0,Princess Polly,2.0,Lydie Cargo Mini Skirt Beige,1.6666666666666665
1,Princess Polly,2.0,Back In Time Top White,3.0999999999999996
2,Princess Polly,2.0,Xena Denim Shorts,3.0
3,Princess Polly,2.0,Janea Bikini Bottoms Rust,1.6666666666666665
4,Princess Polly,2.0,Janea Bikini Top Rust,1.6666666666666665
5,Princess Polly,2.0,Kier Oversized Jacket Denim Mid Wash,1.6666666666666665
6,Princess Polly,2.0,Iconic Cargo Mini Skirt White,1.6666666666666665
7,Princess Polly,2.0,Layla High Cut Cheeky Bikini Bottoms Navy,1.6666666666666665
8,Princess Polly,2.0,Callie Faux Leather Jacket Black,0.9166666666666667
9,Princess Polly,2.0,Jenner Triangle Bikini Top Deep Purple,3.0
10,Brandy Melville,1.0,Anastasia Sweatpants,1.6666666666666665
11,Brandy Melville,1.0,Rosa Sweatpants,1.6666666666666665
12,Brandy Melville,1.0,Beyonca Crop Tank,1.6666666666666665
13,Brandy Melville,1.0,Priscilla Pants,1.6666666666666663
14,Brandy Melville,1.0,Christy Hoodie,1.6666666666666665
15,Brandy Melville,1.0,Bella Top,1.6666666666666665
16,Brandy Melville,1.0,Brianna Cotton Thick Stripe Sweater,1.6666666666666665
17,Brandy Melville,1.0,Boy Short Heart Underwear,1.6666666666666663
18,Brandy Melville,1.0,Bonnie Top,1.6666666666666663
19,Brandy Melville,1.0,Lydia Tank,1.6666666666666663
20,Shein,1.0,Shein Lune Women Floral Print Wide Leg Spring/Summer Casual And Elegant Trouser Beach Pants,1.6666666666666665
21,Shein,1.0,Pattern Printed Casual Round Neck T-Shirt,1.6666666666666665
22,Shein,1.0,Shein Lune Women'S Floral Embroidered Sheer Mesh Open Front Jacket,1.6666666666666665
23,Shein,1.0,Shein Maternity 2Pcs/Set Casual Loose Round Neck T-Shirt With Elastic Waistband Shorts,1.6666666666666665
24,Shein,1.0,Hollow Out Knit Crop Sweater With Bell Sleeve,1.6666666666666665
25,Shein,1.0,Romwe Fairycore Spring Summer Elegant Floral Print Mermaid Mesh Maxi Skirt,1.6666666666666665
26,Shein,1.0,"Shein Lune Women'S Vacation Style Allover Print Dress With Full Dress And Slit, Strapless",1.6666666666666665
27,Shein,1.0,Shein Clasi Floral Print Tie Neck Flutter Sleeve Ruffle Hem Dress,1.6666666666666665
28,Shein,1.0,Adyce Women'S One Shoulder Pleated High Slit Cocktail Party Dress For Dancing Gala Dress,1.6666666666666665
29,Shein,1.0,Shein Privé Solid Color Suit Set,1.6666666666666665
30,Abercrombie & Fitch,2.0,Curve Love High Rise Dad Short,1.6666666666666665
31,Abercrombie & Fitch,2.0,The A&F Scarlett Linen-Blend Wrap Mini Skort,3.333333333333333
32,Abercrombie & Fitch,2.0,"High Rise 4"" Mom Short",1.6666666666666665
33,Abercrombie & Fitch,2.0,"Curve Love High Rise 4"" Mom Short",1.6666666666666665
34,Abercrombie & Fitch,2.0,The A&F Scarlett Linen-Blend Mini Skort,3.333333333333333
35,Abercrombie & Fitch,2.0,A&F Sloane Tailored Pant,1.9333333333333333
36,Abercrombie & Fitch,2.0,"Curve Love High Rise 4"" Mom Short",1.6666666666666665
37,Abercrombie & Fitch,2.0,"High Rise 4"" Mom Short",1.6666666666666665
38,Abercrombie & Fitch,2.0,Curve Love High Rise Dad Short,1.6666666666666665
39,Abercrombie & Fitch,2.0,Curve Love High Rise 90S Cutoff Short,1.6666666666666665
40,Forever 21,1.0,Crochet Hello Kitty Midi Dress,2.9833333333333334
41,Forever 21,1.0,Sequin Hello Kitty Mesh Tee,1.6666666666666665
42,Forever 21,1.0,Rhinestone Badtz-Maru Graphic Tee,1.6666666666666665
43,Forever 21,1.0,Hello Kitty Ringer Shorts,3.0
44,Forever 21,1.0,Striped Hello Kitty Shorts,3.0
45,Forever 21,1.0,Floral Off-The-Shoulder Midi Dress,3.333333333333333
46,Forever 21,1.0,Tiered Sweetheart Maxi Dress,1.6666666666666665
47,Forever 21,1.0,Tube Mini Dress,3.283333333333333
48,Forever 21,1.0,Stretch-Denim Notched Vest,1.6666666666666665
49,Forever 21,1.0,Denim Button-Up Crop Top,1.666666666666667
50,Alo,1.0,Airlift Ribbed Jump Start V-Neck Bra,1.6666666666666665
51,Alo,1.0,7/8 High-Waist Airlift Legging,1.6666666666666665
52,Alo,1.0,Alosoft Crop Finesse Short Sleeve,1.6666666666666665
53,Alo,1.0,"Airbrush High-Waist 5"" Biker Short",1.6666666666666665
54,Alo,1.0,Airlift Intrigue Bra,1.6666666666666665
55,Alo,1.0,Alosoft Backspin Dress,1.6666666666666665
56,Alo,1.0,"3"" High-Waist Airlift Short",1.6666666666666665
57,Alo,1.0,Accolade Straight Leg Sweatpant,1.6666666666666665
58,Alo,1.0,Match Point Tennis Skirt,1.6666666666666665
59,Alo,1.0,Accolade Crew Neck Pullover,1.6666666666666665
60,Aritzia,2.0,Pleated Mid-Thigh Short,3.55
61,Aritzia,2.0,Eyecatcher Mini Dress,1.6666666666666665
62,Aritzia,2.0,Contour Crew Cropped T-Shirt,1.6666666666666665
63,Aritzia,2.0,Pleated Mini Short,3.55
64,Aritzia,2.0,Eyecatcher Dress,1.6666666666666665
65,Aritzia,2.0,Contour Flourish Top,1.6666666666666665
66,Aritzia,2.0,Resolution Dress,3.033333333333333
67,Aritzia,2.0,Bureau Pant,4.916666666666666
68,Aritzia,2.0,Tuberose Dress,3.333333333333333
69,Aritzia,2.0,Lodge Linen Pant,4.433333333333334
70,Uniqlo,3.0,U Airism Cotton Oversized Crew Neck Half-Sleeve T-Shirt,2.166666666666667
71,Uniqlo,3.0,Ribbed Cropped Sleeveless Bra Top,1.6666666666666665
72,Uniqlo,3.0,U Crew Neck T-Shirt,1.6666666666666665
73,Uniqlo,3.0,Mini Short Sleeve T-Shirt,1.6666666666666663
74,Uniqlo,3.0,Premium Linen Long Sleeve Shirt,3.333333333333333
75,Uniqlo,3.0,Ultra Stretch Airism Cropped T-Shirt,2.9499999999999997
76,Uniqlo,3.0,Star Wars: Remastered By Kosuke Kawamura Ut (Short-Sleeve Graphic T-Shirt),2.4999999999999996
77,Uniqlo,3.0,Airism Cropped Bra Tube Top,1.6666666666666665
78,Uniqlo,3.0,Washable Knit Ribbed Long-Sleeve Cardigan,2.55
79,Uniqlo,3.0,Washable Knit Ribbed Pants,2.55
80,Boohoo,2.0,Crochet Contrast Scallop Scoop Beach Dress,1.6666666666666665
81,Boohoo,2.0,Text Print Hooded Short Tracksuit,1.6666666666666665
82,Boohoo,2.0,Mesh Square Neck Ruched Midi Dress,1.6666666666666665
83,Boohoo,2.0,Recycled Oversized Sweater Joggers,1.6666666666666665
84,Boohoo,2.0,Essentials Split Leg Maxi Beach Skirt,1.6666666666666665
85,Boohoo,2.0,Puff One Shoulder Side Split Maxi Dress,1.6666666666666665
86,Boohoo,2.0,Recycled Oversized Sweater Joggers,1.6666666666666665
87,Boohoo,2.0,Recycled Oversized Sweater Joggers,1.6666666666666665
88,Boohoo,2.0,Plus Basic Plunge Rib Bodysuit,1.6666666666666665
89,Boohoo,2.0,Maternity Strappy Cowl Neck Dress And Duster Coat,1.6666666666666665
