,brand,overall_rating,planet_score,people_score,animals_score,description
0,Princess Polly,2,2,2,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Princess Polly “Not Good Enough”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.It follows an unsustainable fast fashion model with quickly changing trends and regular new styles.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.There’s no evidence it’s taking meaningful action to reduce or eliminate hazardous chemicals in manufacturing.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Princess Polly “Not Good Enough”. These are a few factors influencing its score:There’s no evidence it provides financial security to its suppliers, which can result in poor working conditions and wages.There’s no evidence it supports diversity and inclusion in its supply chain.It audits some of its suppliers including all of the final stage of production.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it disclosed some policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Princess Polly “Good”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare.It appears to use leather.It has a policy to source wool from non-mulesed sheep.It doesn’t appear to use down, fur, angora, exotic animal skin, or exotic animal hair.It’s committed to eliminate all animal-derived materials by a target date.Based on all publicly available information we’ve reviewed, we rate Princess Polly “Not Good Enough” overall."
1,Brandy Melville,1,1,1,0,"This brand provides insufficient relevant information about how it reduces its impact on people, the planet and animals. You have a right to know how the products you buy affect the issues you care about.Brandy Melville is rated 'We avoid' overall."
2,Shein,1,1,1,2,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate SHEIN “Very Poor”. These are a few factors influencing its score:It uses few lower-impact materials.It follows an unsustainable fast fashion model with quickly changing trends and regular new styles.There’s no evidence it’s taking meaningful action to reduce or eliminate hazardous chemicals in manufacturing.There’s no evidence it’s taking meaningful action to reduce its climate impacts.There’s no evidence it’s taking actions to minimise microplastic impacts.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate SHEIN “Very Poor”. These are a few factors influencing its score:It received a score of 0-10% in the 2022 Fashion Transparency Index.There’s no evidence it provides financial security to its suppliers, which can result in poor working conditions and wages.There’s no evidence it supports diversity and inclusion in its supply chain.It audits some of its suppliers.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate SHEIN “Not Good Enough”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It appears to use wool, down, exotic animal hair, decorative feathers, and silk.It doesn’t appear to use leather, fur, angora, or exotic animal skin.There’s no evidence it traces any animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate SHEIN “We Avoid” overall."
3,Nike,3,3,3,2,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Nike “It's a Start”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.It has set a target to eliminate most hazardous chemicals by 2025 and it is on track to meet its target.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Nike “It's a Start”. These are a few factors influencing its score:Its social auditing program is certified by Fair Labor Association (FLA).It received a score of 51-60% in the 2022 Fashion Transparency Index.It has a basic policy to support diversity and inclusion in its supply chain.It claims to have a program to improve wages but there’s no evidence it ensures its workers are paid living wages in most of its supply chain.During the height of the COVID-19 pandemic, it disclosed some policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Nike “Not Good Enough”. These are a few factors influencing its score:It has a basic policy covering animal welfare but no clear implementation mechanisms in place.It appears to use wool, down, exotic animal skin, shearling, exotic animal hair, and silk.It uses some recycled leather in its leather products.It doesn’t appear to use fur, or angora.There’s no evidence it traces any animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Nike “It's a Start” overall."
4,Abercrombie & Fitch,2,2,2,2,"Abercrombie & Fitch is owned by Abercrombie Abercrombie & Fitch Co.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Abercrombie & Fitch “Not Good Enough”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.There’s no evidence it’s taking meaningful action to reduce or eliminate hazardous chemicals in manufacturing.It’s set an absolute target to reduce greenhouse gas emissions in its direct operations but not its supply chain.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Abercrombie & Fitch “Not Good Enough”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 31-40% in the 2023 Fashion Transparency Index.There’s no evidence it supports diversity and inclusion in its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.It’s taken insufficient steps to remediate its links to cotton sourced from Xinjiang, a region in China at risk of Uyghur forced labour.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Abercrombie & Fitch “Not Good Enough”. These are a few factors influencing its score:It has a basic animal welfare policy.It appears to use leather, shearling, and exotic animal hair.Responsible Wool Standard certifies the wool it sources.Responsible Down Standard certifies the down it uses.It doesn’t appear to use fur, angora, or exotic animal skin.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Abercrombie & Fitch “Not Good Enough” overall."
5,Amazon,2,2,2,2,"Amazon's rating applies to the Amazon house apparel brands only and does not cover other brands stocked by Amazon or other categories of products outside of apparel. Its environment rating is 'not good enough'. It uses few eco-friendly materials. There is no evidence it minimises textile waste when manufacturing its products . It uses some renewable energy in its direct operations to reduce its climate impact but not in its supply chain. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. Its labour rating is 'not good enough'. None of its supply chain is certified by labour standards which ensure worker health and safety, living wages or other labour rights. It received a score of 21-30% in the 2021 Fashion Transparency Index. There is no evidence it implements practices to support diversity and inclusion in its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. It does not disclose adequate policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19. It has been linked with sourcing cotton from the Xinjiang region in China at risk of using Uyghur forced labour and has taken insufficient steps to remediate. Its animal rating is 'not good enough'. It has a general statement about minimising animal suffering but not a formal animal welfare policy. It uses leather, wool and exotic animal hair. It does not use fur, down, angora or exotic animal skin. There is no evidence it traces animal products to the first stage of production. Amazon is rated 'Not good enough' overall."
6,ASOS,2,2,2,2,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate ASOS “Not Good Enough”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.It follows an unsustainable fast fashion model with quickly changing trends and regular new styles.There’s no evidence it minimises textile waste in its supply chain.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate ASOS “Not Good Enough”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 51-60% in the 2022 Fashion Transparency Index.It has a limited policy to support diversity and inclusion in its direct operations and supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it disclosed some policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate ASOS “Not Good Enough”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but few clear implementation mechanisms in place.It appears to use leather, and shearling.It has a policy to source wool from non-mulesed sheep but doesn’t provide any evidence to verify its claims.It doesn’t appear to use down, fur, angora, exotic animal skin, or exotic animal hair.There’s no evidence it traces any animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate ASOS “Not Good Enough” overall."
7,Forever 21,1,1,1,2,"Forever 21 is owned by Authentic Brands Group.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Forever 21 “Very Poor”. These are a few factors influencing its score:It uses few lower-impact materials.It follows an unsustainable fast fashion model with quickly changing trends and regular new styles.There’s no evidence it’s taking meaningful action to reduce its climate impacts.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.There’s no evidence it minimises textile waste in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Forever 21 “Very Poor”. These are a few factors influencing its score:There’s no evidence it provides financial security to its suppliers, which can result in poor working conditions and wages.There’s no evidence it implements practices to support diversity and inclusion in its direct operations or supply chain.Its Code of Conduct covers some ILO Four Fundamental Freedoms principles.There’s no evidence it ensures workers are paid living wages in its supply chain.It’s taken insufficient steps to remediate its links to cotton sourced from Xinjiang, a region in China at risk of Uyghur forced labour.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Forever 21 “Not Good Enough”. These are a few factors influencing its score:It’s published a general statement about minimising animal suffering but not a formal animal welfare policy.It appears to use wool, exotic animal hair, and decorative feathers.It doesn’t appear to use leather, down, fur, angora, or exotic animal skin.There’s no evidence it traces any animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Forever 21 “We Avoid” overall."
8,American Eagle,2,2,2,2,"American Eagle is owned by AEO Inc.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate American Eagle “Not Good Enough”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.There’s no evidence it’s taking meaningful action to reduce water use.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate American Eagle “Not Good Enough”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 21-30% in the 2023 Fashion Transparency Index.There’s no evidence it supports diversity and inclusion in its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate American Eagle “Not Good Enough”. These are a few factors influencing its score:It’s published a general statement about minimising animal suffering but not a formal animal welfare policy.It appears to use leather, and exotic animal hair.It has a policy to source wool from non-mulesed sheep but doesn’t provide any evidence to verify its claims.Responsible Down Standard certifies the down it uses.It doesn’t appear to use fur, angora, or exotic animal skin.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate American Eagle “Not Good Enough” overall."
9,Alo,1,1,2,2,"Alo's environment rating is 'very poor'. It uses few eco-friendly materials. There is no evidence it minimises textile waste. There is no evidence it reduces its carbon and other greenhouse gas emissions in its supply chain. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. Its labour rating is 'not good enough'. There is no evidence it has worker empowerment initiatives such as collective bargaining or rights to make a complaint. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain. Its final stage of production is certified by Worldwide Responsible Accredited Production - WRAP. It does not disclose any policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19. Its animal rating is 'not good enough'. There is no evidence it has a policy to minimise the suffering of animals. It uses leather, down, exotic animal hair and wool. It does not use fur, angora, or exotic animal skin. There is no evidence it traces any animal product to the first stage of production. Alo is rated 'We avoid' overall."
