brand,avg_brand_rating,price_level,location,url
KNOWN SUPPLY,2.85,2.0,United States,https://directory.goodonyou.eco/brand/known-supply
AMENDI,3.233333333333333,3.0,Sweden,https://directory.goodonyou.eco/brand/amendi
SANVT,1.7,,,
Patagonia,4.333333333333333,3.0,United States,https://directory.goodonyou.eco/brand/patagonia
Scotch & Soda,3.3,2.0,Australia,https://directory.goodonyou.eco/brand/scotch-and-soda
KINdom,1.7,,,
Ecoalf,2.85,2.0,Spain,https://directory.goodonyou.eco/brand/ecoalf
Unspun,3.9,3.0,United States,https://directory.goodonyou.eco/brand/unspun
Pangaia,3.766666666666667,4.0,United Kingdom,https://directory.goodonyou.eco/brand/pangaia
Po-Zu,2.85,2.0,United Kingdom,https://directory.goodonyou.eco/brand/po-zu
Taylor Stitch,3.15,2.0,United States,https://directory.goodonyou.eco/brand/taylor-stitch
Selfmade,3.3,,,
Wolven,3.233333333333333,3.0,United States,https://directory.goodonyou.eco/brand/wolven
People Tree,3.9,2.0,United Kingdom,https://directory.goodonyou.eco/brand/people-tree
DillySocks,3.233333333333333,1.0,Switzerland,https://directory.goodonyou.eco/brand/dillysocks
Thousand Fell,1.7,2.0,United States,https://directory.goodonyou.eco/brand/thousand-fell
The Good Tee,5.0,2.0,Canada,https://directory.goodonyou.eco/brand/the-good-tee
Reprise,1.7,,,
CHNGE,3.766666666666667,1.0,United States,https://directory.goodonyou.eco/brand/chnge
Pact,3.766666666666667,3.0,United States,https://directory.goodonyou.eco/brand/pact
Girlfriend Collective,3.766666666666667,3.0,United States,https://directory.goodonyou.eco/brand/girlfriend-collective
prAna,2.35,2.0,United States,https://directory.goodonyou.eco/brand/prana
Conscious Step,2.85,3.0,United States,https://directory.goodonyou.eco/brand/conscious-step
NAADAM,2.35,2.0,United States,https://directory.goodonyou.eco/brand/naadam
Save the Duck,3.15,3.0,United States,https://directory.goodonyou.eco/brand/save-the-duck
EDWIN,1.7,,,
Kozm,1.7,,,
Adelante Made-to-Order,5.0,,,
Coalatree,3.15,2.0,United States,https://directory.goodonyou.eco/brand/coalatree
The Classic T-Shirt Company,2.85,3.0,United States,https://directory.goodonyou.eco/brand/the-classic-t-shirt-company
SOKO,3.3,,,
Frankie Collective,2.85,2.0,Canada,https://directory.goodonyou.eco/brand/frankie-collective
Brilliant Earth,1.7,,,
Whimsy + Row,3.766666666666667,,,
Triarchy,4.433333333333334,4.0,United States,https://directory.goodonyou.eco/brand/triarchy
Ecologyst,3.3,,,
Astor & Orion,1.7,,,
Reformation,3.233333333333333,3.0,United States,https://directory.goodonyou.eco/brand/reformation
Nisolo,2.85,2.0,United States,https://directory.goodonyou.eco/brand/nisolo
Colorful Standard,3.766666666666667,2.0,Denmark,https://directory.goodonyou.eco/brand/colorful-standard
GOEX Apparel,1.7,,,
Beckett Simonon,3.3,3.0,United States,https://directory.goodonyou.eco/brand/beckett-simonon
ADIFF,3.3,,,
Filippa K,1.7,3.0,Sweden,https://directory.goodonyou.eco/brand/filippa-k
Kuyichi Pure Goods,5.0,,,
Parker Clay,2.85,3.0,United States,https://directory.goodonyou.eco/brand/parker-clay
Dedicated,3.9,2.0,Sweden,https://directory.goodonyou.eco/brand/dedicated
AlterX Co.,3.3,,,
BAM Bamboo Clothing,2.85,2.0,United Kingdom,https://directory.goodonyou.eco/brand/bam-bamboo-clothing
culthread,5.0,3.0,United Kingdom,https://directory.goodonyou.eco/brand/culthread
Koio,2.35,3.0,United States,https://directory.goodonyou.eco/brand/koio
Tentree,3.766666666666667,2.0,Canada,https://directory.goodonyou.eco/brand/tentree
Kotn,3.766666666666667,2.0,Canada,https://directory.goodonyou.eco/brand/kotn
Zero Waste Daniel,4.333333333333333,3.0,United States,https://directory.goodonyou.eco/brand/zero-waste-daniel
Ninety Percent,3.766666666666667,3.0,United Kingdom,https://directory.goodonyou.eco/brand/ninety-percent
Cotopaxi,3.233333333333333,2.0,United States,https://directory.goodonyou.eco/brand/cotopaxi
ETRE Organic Underwear,1.7,,,
Boyish Jeans,5.0,,,
United by Blue,2.85,2.0,United States,https://directory.goodonyou.eco/brand/united-by-blue
Nudie Jeans,5.0,3.0,Sweden,https://directory.goodonyou.eco/brand/nudie-jeans
Organic Basics,3.9,3.0,Denmark,https://directory.goodonyou.eco/brand/organic-basics
Suit Supply,3.3,,,
Frank & Oak,1.7,2.0,Canada,https://directory.goodonyou.eco/brand/frank-and-oak
ISTO,2.85,2.0,Portugal,https://directory.goodonyou.eco/brand/isto
Subset,5.0,3.0,United States,https://directory.goodonyou.eco/brand/subset
MATE the Label,3.766666666666667,2.0,United States,https://directory.goodonyou.eco/brand/mate-the-label
Iron Roots,3.9,3.0,Netherlands,https://directory.goodonyou.eco/brand/iron-roots
Warby Parker,1.7,2.0,United States,https://directory.goodonyou.eco/brand/warby-parker
Finisterre,3.233333333333333,2.0,United Kingdom,https://directory.goodonyou.eco/brand/finisterre
Fite Fashion,1.7,,,
Icebreaker,2.566666666666667,2.0,New Zealand,https://directory.goodonyou.eco/brand/icebreaker
MUD Jeans,5.0,2.0,Netherlands,https://directory.goodonyou.eco/brand/mud-jeans
Arvin Goods,1.7,,,
Toad&Co,3.65,,,
Voyce Threads,1.7,,,
Ten Thousand Villages,1.7,,,
Groceries Apparel,2.85,2.0,United States,https://directory.goodonyou.eco/brand/groceries-apparel
OSOM,1.7,,,
No Nasties,5.0,2.0,India,https://directory.goodonyou.eco/brand/no-nasties
8000Kicks,1.7,2.0,United States,https://directory.goodonyou.eco/brand/8000kicks
Ministry of Supply,2.85,3.0,United States,https://directory.goodonyou.eco/brand/ministry-of-supply
Topiku,3.3,,,
Liila,1.7,,,
Up-fuse,4.5,2.0,Egypt,https://directory.goodonyou.eco/brand/up-fuse
Outerknown,4.333333333333333,3.0,United States,https://directory.goodonyou.eco/brand/outerknown
Etiko,5.0,2.0,Australia,https://directory.goodonyou.eco/brand/etiko
Hernest Project,3.233333333333333,2.0,Canada,https://directory.goodonyou.eco/brand/hernest-project
PANAFRICA,2.85,2.0,France,https://directory.goodonyou.eco/brand/panafrica
Teemill,3.35,1.0,United Kingdom,https://directory.goodonyou.eco/brand/teemill
Veja,2.85,2.0,France,https://directory.goodonyou.eco/brand/veja
