,Brand,Overall,Transparency,Fair Labor,Sustainably Made,URL
0,Outerknown,Gold,Excellent,Excellent,Excellent,https://www.eco-stylist.com/ethical-brand/outerknown/
1,Adelante Made-to-Order,Gold,Excellent,Excellent,Good,https://www.eco-stylist.com/ethical-brand/adelante-shoe-co/
2,Pact,Silver,Fair,Excellent,Good,https://www.eco-stylist.com/ethical-brand/pact/
3,Taylor Stitch,Silver,Good,Good,Excellent,https://www.eco-stylist.com/ethical-brand/taylor-stitch/
4,Wolven,Certified,Good,Fair,Excellent,https://www.eco-stylist.com/ethical-brand/wolven/
5,Kotn,Silver,Excellent,Good,Good,https://www.eco-stylist.com/ethical-brand/kotn/
6,8000Kicks,Certified,Excellent,Good,Good,https://www.eco-stylist.com/ethical-brand/8000kicks/
7,Toad&Co,Silver,Fair,Good,Excellent,https://www.eco-stylist.com/ethical-brand/toadco/
8,Colorful Standard,Silver,Fair,Excellent,Excellent,https://www.eco-stylist.com/ethical-brand/colorful-standard/
9,Vustra,Certified,Good,Good,Good,https://www.eco-stylist.com/ethical-brand/vustra/
10,culthread,Gold,Excellent,Excellent,Good,https://www.eco-stylist.com/ethical-brand/culthread/
11,Thousand Fell,Certified,Good,Fair,Excellent,https://www.eco-stylist.com/ethical-brand/thousand-fell/
12,Tentree,Silver,Excellent,Good,Excellent,https://www.eco-stylist.com/ethical-brand/tentree/
13,Fite Fashion,Certified,Good,Good,Good,https://www.eco-stylist.com/ethical-brand/fite-fashion/
14,Brilliant Earth,Certified,Excellent,Good,Good,https://www.eco-stylist.com/ethical-brand/brilliant-earth/
15,Girlfriend Collective,Silver,Good,Excellent,Good,https://www.eco-stylist.com/ethical-brand/girlfriend-collective/
16,Ministry of Supply,Certified,Good,Fair,Excellent,https://www.eco-stylist.com/ethical-brand/ministry-of-supply/
17,The Classic T-Shirt Company,Certified,Good,Excellent,Good,https://www.eco-stylist.com/ethical-brand/the-classic-t-shirt-company/
18,Nisolo,Certified,Good,Excellent,Fair,https://www.eco-stylist.com/ethical-brand/nisolo/
19,AlterX Co.,Silver,Good,Excellent,Good,https://www.eco-stylist.com/ethical-brand/alterx-co/
20,Astor & Orion,Certified,Good,Excellent,Good,https://www.eco-stylist.com/ethical-brand/astor-orion/
21,SOKO,Silver,Good,Excellent,Good,https://www.eco-stylist.com/ethical-brand/soko/
22,KNOWN SUPPLY,Certified,Good,Excellent,Good,https://www.eco-stylist.com/ethical-brand/known-supply/
23,Koio,Certified,Excellent,Fair,Excellent,https://www.eco-stylist.com/ethical-brand/koio/
24,Ten Thousand Villages,Certified,Excellent,Excellent,Good,https://www.eco-stylist.com/ethical-brand/ten-thousand-villages/
25,MATE the Label,Silver,Excellent,Fair,Excellent,https://www.eco-stylist.com/ethical-brand/mate-the-label/
26,Marimekko,Certified,Excellent,Good,Good,https://www.eco-stylist.com/ethical-brand/marimekko/
27,Coalatree,Silver,Fair,Excellent,Excellent,https://www.eco-stylist.com/ethical-brand/coalatree/
28,GOEX Apparel,Certified,Excellent,Excellent,Fair,https://www.eco-stylist.com/ethical-brand/goex-apparel/
29,Iron Roots,Certified,Good,Good,Excellent,https://www.eco-stylist.com/ethical-brand/iron-roots/
30,Parker Clay,Certified,Good,Excellent,Fair,https://www.eco-stylist.com/ethical-brand/parker-clay/
31,The Good Tee,Gold,Excellent,Excellent,Excellent,https://www.eco-stylist.com/ethical-brand/the-good-tee/
32,Etiko,Gold,Excellent,Excellent,Excellent,https://www.eco-stylist.com/ethical-brand/etiko/
33,Organic Basics,Certified,Excellent,Good,Good,https://www.eco-stylist.com/ethical-brand/organic-basics/
34,Kuyichi Pure Goods,Gold,Excellent,Good,Excellent,https://www.eco-stylist.com/ethical-brand/kuyichi-pure-goods/
35,BAM Bamboo Clothing,Certified,Excellent,Fair,Excellent,https://www.eco-stylist.com/ethical-brand/bam-bamboo-clothing/
36,Hernest Project,Certified,Excellent,Good,Good,https://www.eco-stylist.com/ethical-brand/hernest-project/
37,Subset,Gold,Good,Excellent,Excellent,https://www.eco-stylist.com/ethical-brand/knickey/
38,MUD Jeans,Gold,Excellent,Good,Excellent,https://www.eco-stylist.com/ethical-brand/mud-jeans/
39,Nudie Jeans,Gold,Excellent,Excellent,Excellent,https://www.eco-stylist.com/ethical-brand/nudie-jeans/
40,Patagonia,Gold,Excellent,Excellent,Excellent,https://www.eco-stylist.com/ethical-brand/patagonia/
41,Whimsy + Row,Silver,Fair,Good,Excellent,https://www.eco-stylist.com/ethical-brand/whimsy-and-row/
42,Pangaia,Silver,Excellent,Good,Good,https://www.eco-stylist.com/ethical-brand/pangaia/
43,Icebreaker,Certified,Excellent,Good,Excellent,https://www.eco-stylist.com/ethical-brand/icebreaker/
44,prAna,Certified,Good,Excellent,Good,https://www.eco-stylist.com/ethical-brand/prana/
45,Asket,Certified,Excellent,Fair,Good,https://www.eco-stylist.com/ethical-brand/asket/
46,Suit Supply,Silver,Excellent,Good,Good,https://www.eco-stylist.com/ethical-brand/suit-supply/
47,Frank & Oak,Certified,Good,Good,Excellent,https://www.eco-stylist.com/ethical-brand/frank-oak/
48,Veja,Certified,Excellent,Good,Good,https://www.eco-stylist.com/ethical-brand/veja/
49,Filippa K,Certified,Excellent,Fair,Good,https://www.eco-stylist.com/ethical-brand/filippa-k/
50,Warby Parker,Certified,Fair,Good,Excellent,https://www.eco-stylist.com/ethical-brand/warby-parker/
51,Cotopaxi,Certified,Good,Good,Good,https://www.eco-stylist.com/ethical-brand/cotopaxi/
52,Conscious Step,Certified,Good,Excellent,Good,https://www.eco-stylist.com/ethical-brand/conscious-step/
53,Teemill,Certified,Good,Good,Excellent,https://www.eco-stylist.com/ethical-brand/teemill/
54,Groceries Apparel,Certified,Good,Good,Good,https://www.eco-stylist.com/ethical-brand/groceries-apparel/
55,Ninety Percent,Silver,Good,Good,Excellent,https://www.eco-stylist.com/ethical-brand/ninety-percent/
56,Liila,Certified,Good,Fair,Good,https://www.eco-stylist.com/ethical-brand/liila/
57,Boyish Jeans,Gold,Excellent,Excellent,Excellent,https://www.eco-stylist.com/ethical-brand/boyish-jeans/
58,Scotch & Soda,Silver,Excellent,Fair,Excellent,https://www.eco-stylist.com/ethical-brand/scotch-soda/
59,Topiku,Silver,Excellent,Good,Excellent,https://www.eco-stylist.com/ethical-brand/topiku/
60,NAADAM,Certified,Good,Good,Excellent,https://www.eco-stylist.com/ethical-brand/naadam/
61,Beckett Simonon,Silver,Excellent,Excellent,Good,https://www.eco-stylist.com/ethical-brand/beckett-simonon/
62,Stella McCartney,Certified,Good,Good,Excellent,https://www.eco-stylist.com/ethical-brand/stella-mccartney/
63,Voyce Threads,Certified,Excellent,Fair,Excellent,https://www.eco-stylist.com/ethical-brand/voyce-threads/
64,Arvin Goods,Certified,Good,Fair,Excellent,https://www.eco-stylist.com/ethical-brand/arvin-goods/
65,Po-Zu,Certified,Good,Good,Excellent,https://www.eco-stylist.com/ethical-brand/po-zu/
66,Up-fuse,Gold,Excellent,Excellent,Good,https://www.eco-stylist.com/ethical-brand/upfuse/
67,Zero Waste Daniel,Gold,Excellent,Good,Excellent,https://www.eco-stylist.com/ethical-brand/zero-waste-daniel/
68,People Tree,Certified,Good,Excellent,Good,https://www.eco-stylist.com/ethical-brand/people-tree/
69,SANVT,Certified,Excellent,Good,Good,https://www.eco-stylist.com/ethical-brand/sanvt/
70,AMENDI,Certified,Excellent,Fair,Good,https://www.eco-stylist.com/ethical-brand/amendi/
71,ADIFF,Silver,Excellent,Good,Excellent,https://www.eco-stylist.com/ethical-brand/adiff/
72,ISTO,Certified,Excellent,Good,Good,https://www.eco-stylist.com/ethical-brand/isto/
73,Triarchy,Silver,Good,Good,Excellent,https://www.eco-stylist.com/ethical-brand/triarchy/
74,ARMEDANGELS,Certified,Excellent,Good,Good,https://www.eco-stylist.com/ethical-brand/armedangels/
75,OSOM,Certified,Fair,Fair,Excellent,https://www.eco-stylist.com/ethical-brand/osom/
76,Outland Denim,Gold,Excellent,Excellent,Excellent,https://www.eco-stylist.com/ethical-brand/outland-denim/
77,Kowtow,Silver,Fair,Good,Excellent,https://www.eco-stylist.com/ethical-brand/kowtow/
78,EDWIN,Certified,Excellent,Fair,Excellent,https://www.eco-stylist.com/ethical-brand/edwin/
79,KINdom,Certified,Good,Good,Good,https://www.eco-stylist.com/ethical-brand/kindom/
