,brand,overall_rating,planet_score,people_score,animals_score,description
0,Sami Miro Vintage,4,5,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Sami Miro Vintage “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including upcycled materials.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it limits its production runs.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Sami Miro Vintage “It's a Start”. These are a few factors influencing its score:Its final production stage happens in the USA, a medium risk country for labour abuse.It partly traces its supply chain including all of the final production stage.There's no evidence it has a Code of Conduct but it has a formal statement covering workers rights.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Sami Miro Vintage “Good”. These are a few factors influencing its score:It uses recycled leather in all of its leather products.It uses recycled wool in all of its wool products.It doesn’t appear to use down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate Sami Miro Vintage “Good” overall."
1,Ognx,3,3,3,Not applicable,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Ognx “It's a Start”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses lower impact materials, but there’s no evidence it’s taking further action to reduce its energy use or greenhouse gas emissions.There’s no evidence it minimises textile waste in its supply chain.There’s no evidence it takes action to minimise its packaging, which is a driver of plastic waste.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Ognx “It's a Start”. These are a few factors influencing its score:Its final production stage is certified by Business Social Compliance Initiative Code of Conduct - BSCI, Global Organic Textile Standard (GOTS) certified organic cotton, Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance, and Social Accountability International - SA8000.It partly traces its supply chain including all of the final production stage.There's no evidence it has a Code of Conduct.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Since Ognx makes products that are generally free of animal-derived materials, we’ve not rated its impact on animals. Its overall rating is based on its combined environment and labour scores.Based on all publicly available information we’ve reviewed, we rate Ognx “It's a Start” overall."
2,Mantis World,5,4,4,5,"Mantis World's environment rating is 'good'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It traces most of its supply chain. It audits most of its suppliers. It is unclear whether it ensures payment of a living wage in its supply chain. Its animal rating is 'great'. It is listed by PETA as vegan. Mantis World is rated 'Great' overall."
3,Le Gramme,3,4,2,Not applicable,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and Wastewater to business models and product circularity. Here we rate Le Gramme “Good”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including recycled materials.It uses lower-impact materials that help limit the chemicals, water, and wastewater in its Supply Chain.It uses recycled packaging.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Le Gramme “Not Good Enough”. These are a few factors influencing its score:Some of its supply chain is certified by the Responsible Jewellery Council, including its entire final production stage.There’s no evidence it has a Code of Conduct.It partly traces its supply chain including the final and some of the second production stages.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Since Le Gramme makes products that are generally free of animal-derived materials, we’ve not rated its impact on animals. Its overall rating is based on its combined environment and labour scores.Based on all publicly available information we’ve reviewed, we rate Le Gramme “It's a Start” overall."
4,WAXON,4,3,3,4,WAXON's environment rating is 'it's a start'. It uses some eco-friendly materials including organic cotton. It uses low impact non-toxic dyes in all of its products. Its products are made to order to minimise textile waste. It manufactures locally to reduce its climate impact. Its labour rating is 'it's a start'. Its products are manufactured in-house by a small team. It traces some of its supply chain. There is no evidence it ensures payment of a living wage. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. WAXON is rated 'Good' overall.
5,Gyre,4,5,4,Not applicable,"Gyre's environment rating is 'great'. It uses a high proportion of eco-friendly materials including recycled materials. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its final stage of production is undertaken in Australia, a low risk country for labour abuse. There is no evidence it has a Code of Conduct. It traces all of its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.Gyre is rated 'Good' overall."
6,Peak Performance,3,3,2,4,"Peak Performance is owned by Amer Sports.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Peak Performance “It's a Start”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.It uses a medium proportion of bluesign certified fabrics.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.It trains its designers to improve the circularity of its products.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Peak Performance “Not Good Enough”. These are a few factors influencing its score:There’s no evidence it supports diversity and inclusion in its supply chain.It provides a confidential complaints mechanism for workers in its supply chain to report suspected modern slavery.It audits its suppliers but does not state how often.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Peak Performance “Good”. These are a few factors influencing its score:Responsible Wool Standard certifies the wool it sources.Responsible Down Standard certifies the down it uses.It doesn’t appear to use leather, fur, angora, exotic animal skin, or exotic animal hair.It traces all animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Peak Performance “It's a Start” overall."
7,Hēdoïne,3,3,2,5,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Hēdoïne “It's a Start”. These are a few factors influencing its score:There’s no evidence it uses any lower-impact materials.It uses recycled packaging.It uses a closed-loop system to reduce water use in its supply chain.There’s no evidence it minimises textile waste in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Hēdoïne “Not Good Enough”. These are a few factors influencing its score:Its final production stage happens in the UK and Italy, medium risk countries for labour abuse.There’s no evidence it has a Code of Conduct.It partly traces its supply chain including all of the final production stage.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Hēdoïne “Great”. It states that its entire product range is vegan.Based on all publicly available information we’ve reviewed, we rate Hēdoïne “It's a Start” overall."
8,No Nasties,5,5,4,5,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate No Nasties “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.It uses low-waste cutting techniques to maximise fabric use.It completes the first and second stages of production closer to home to reduce its climate impact.It uses some recycled packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate No Nasties “Good”. These are a few factors influencing its score:Much of its supply chain is certified by Fairtrade International - Small Producers Organisations, and Global Organic Textile Standard (GOTS) certified organic cotton.It traces most of its supply chain.There's no evidence it has a Code of Conduct but it has a formal statement covering workers' rights.It’s not clear if it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate No Nasties “Great”. It states that its entire product range is vegan.Based on all publicly available information we’ve reviewed, we rate No Nasties “Great” overall."
9,Boll & Branch,5,5,5,Not applicable,"Boll & Branch rating applies to its house apparel products only and does not cover other categories of products outside of apparel.Its environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) certified cotton. It uses sea freight for shipping to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'great'. Its products are certified by Fairtrade International - Small Producers Organisations. It traces all of its supply chain. It ensures payment of a living wage in most of its supply chain. This brand makes products that are generally free of animal materials. We have not rated its impact on animals. The overall rating is based on environment and labour scores only. Boll & Branch is rated 'Great' overall."
