,Brand,Rating,Factors
0,Modibodi,3,
1,Natalie Perry,4,
2,(di)vision,4,
3,Adidas,3,"Adidas’ Global Recognition for Sustainability Initiatives in 2022, Greenhouse Gas Emissions: A Target to Achieve, Microplastics Research: Tackling Emerging Environmental Issues, Conserving Biodiversity: A Missing Piece, Adidas’ Commitment to Fair and Safe Labor Practices, Transparency: An Important Disclosure, COVID-19 Response: Prioritizing Stakeholder Health, Animal Welfare: Room for Enhancement, but There’s More to Do"
4,Adarche Clothing,4,"Protecting the Planet with Adarche Clothing, Empowering Workers with Adarche Clothing, Caring for Animals with Adarche Clothing, The Overall Sustainability of Adarche Clothing"
5,A-dam,4,
6,Aestethic London,5,
7,Adelaide C. Ecoage,4,
8,337 BRAND,4,
9,A_C,4,
10,A. ROEGE HOVE,4,
11,Adidas by Stella McCartney,4,
12,Absolutely Bear,4,
13,ACBC,3,
14,A.BCH,5,
15,AEANCE,4,
16,Afends,4,
17,A Happy Brand,4,
18,Les Sublimes,4,"Eco-Friendly Materials, Labor Practices, Animal Welfare, The Overall Impact, Areas for Improvement"
19,Adele Dejak,3,
20,AERA,4,
21,4Kinship,4,
22,AARVEN,4,
23,AGMES,4,
24,[eyd],4,"Eco-friendly Materials, Embracing Clean Energy, Circular Approach, Advocating for Workers’ Rights, Animal-Friendly Practices"
25,7PLIS,4,"Labor Practices, Animal Welfare"
26,ABLE,4,
27,AFROBLONDE,4,"Planet Rating: Good, People Rating: Not Good Enough, Animals Rating: Great"
28,1 People,4,
29,A A K S,4,
30,About Companions,4,
31,A Natural Connection,4,"An Environmentally Conscious Approach, Promoting Ethical Labor Practices, A Cruelty-Free Approach"
32,ALEEM YUSUF,4,
33,Alchemist,4,
34,Amour Vert,4,
35,Alighieri,4,"Environmentally-Friendly Materials, Local Manufacturing and Carbon Footprint, Reduced Chemical Usage and Water Conservation, Final Production in the UK, Supply Chain Transparency and Regular Supplier Visits, Paying a Living Wage"
36,Alkemie,4,
37,Ambiletics,4,
38,Altar,4,
39,Allmade,4,
40,Aiayu,4,
41,Amadeus,4,
42,Amber Days,4,"Environment Rating, Labor Rating, Animal Rating, Overall Rating"
43,allthingsfi,4,
44,ALMOST THERE,4,
45,Amber Goes Green,4,
46,amt.,4,
47,Alder,3,"Planet Rating, People Rating, Animals Rating, Overall Rating"
48,All Blues,4,
49,Ana Luisa,4,
50,Akola,4,
51,Ales Grey,3,
52,Altra,3,
53,ALTER X Company,4,"Environmental Policies and Practices, Worker’s Rights and Social Responsibility, Animal Welfare Policies"
54,amaud,5,"People Rating: Great, Animals Rating: Good"
55,Alchemy Goods,4,
56,Amble Outdoors,4,
57,AMENDI,4,"Environment Rating: Good, Labor Rating: It’s a Start, Animal Rating: Good, Overall Rating: Good"
58,AKOIASWIM,3,
59,Aks,4,
60,All The Wild Roses,4,"Labor Practices, Supply Chain Transparency, Animal Welfare, Overall Sustainability"
61,Akala,4,"Environmental Responsibility, Labor Practices, Animal Welfare, Overall Rating"
62,Another Tomorrow,4,"Environmental Practices, Labor Practices, Animal Welfare, Overall Rating"
63,ANTTI,4,
64,ARMEDANGELS,5,
65,Araks,4,"A Responsible Supply Chain, Avoiding Animal Materials"
66,Artichoke,4,"Eco-Friendly Materials and Upcycling, Local Manufacturing for Climate Impact, Focusing on Labor Standards, Animal-Friendly Fashion"
67,Artknit Studios,4,
68,Arnsdorf,4,
69,Anthea Crawford,4,
70,Anne Hermine,5,
71,Ansea,4,
72,Après Studio,4,
73,Art’Abaska,3,
74,ANINI,4,
75,Antiform,4,
76,Andorine,3,
77,arch4,3,
78,Apple Oak Fibre Works,5,
79,Andersen-Andersen,4,
80,Anabela Chan,4,
81,Anywhere,3,
