Title,Links,VideoLink
Cozy Winter clothing haul🤎 best basics! princess polly,"https://us.princesspolly.com
https://youtu.be/6FDM52XfzSU
https://us.princesspolly.com/products/fawcett-jeans-dark-wash-denim-petite
https://us.princesspolly.com/products/juelz-sweater-beige
https://us.princesspolly.com/products/endman-knit-pants-beige
https://us.princesspolly.com/products/endman-zip-knit-top-beige
https://us.princesspolly.com/products/arnim-eco-nylon-long-sleeve-top-brown?variant=39666998378580
https://us.princesspolly.com/products/stacks-ring-pack-gold
https://us.princesspolly.com/products/elysium-eco-nylon-long-sleeve-turtleneck-top-bone
https://us.princesspolly.com/products/princess-polly-hooded-sweatshirt-bubble-text-stone-slate
https://us.princesspolly.com/products/sonoma-teddy-coat-brown
https://us.princesspolly.com/products/devera-jumpsuit-black
https://us.princesspolly.com/products/tagula-off-the-shoulder-top-beige
https://amzn.to/3Y3KcyP",https://www.youtube.com/watch?v=aelUoWXyVRs
"HUGE PRINCESS POLLY SPRING/SUMMER TRY-ON HAUL! (spring dresses, spring trends, leopard print) | 2024","https://us.princesspolly.com/
https://us.princesspolly.com/products/granno-mini-dress-white?variant=39909850873940
https://us.princesspolly.com/products/fusili-romper-white-floral?variant=40270696710228
https://us.princesspolly.com/products/amoret-maxi-dress-multi?variant=40144090366036
https://us.princesspolly.com/products/emily-maxi-skirt-leopard-print?variant=40080192929876
https://us.princesspolly.com/products/rendezvous-top-crimson?variant=40197461344340
https://us.princesspolly.com/products/viney-top-white?variant=40146952945748
https://us.princesspolly.com/products/ansilin-top-brown-check?variant=40280808915028
https://us.princesspolly.com/products/long-summer-nights-top-ivory-low-impact?variant=39929528483924
https://us.princesspolly.com/products/back-in-time-eco-nylon-top-red?variant=39676139569236
https://us.princesspolly.com/products/zoe-eco-nylon-top-black?variant=39676139110484
https://us.princesspolly.com/products/caraliia-shirt-black-cream?variant=40112617324628
https://us.princesspolly.com/products/abner-cable-cardigan-grey-marle?variant=40138619158612
https://us.princesspolly.com/products/artha-cardigan-beige?variant=40178658541652
https://us.princesspolly.com/products/shoreside-sandal-natural?variant=39431517470804
https://us.princesspolly.com/products/get-together-belt-red?variant=40197394202708
https://us.princesspolly.com/products/weekend-travels-belt-brown?variant=40045387055188
https://us.princesspolly.com/products/cassianer-sunglasses-black?variant=40129754234964
https://us.princesspolly.com/products/winnick-sunglasses-tort?variant=39727003500628
https://us.princesspolly.com/products/zelaya-pearl-earrings-gold-white?variant=39703612227668
https://us.princesspolly.com/products/barberry-cuff-gold?variant=39991360356436
https://us.princesspolly.com/products/elettra-ring-pack-gold?variant=40108015288404
https://us.princesspolly.com/products/medora-rings-silver?variant=40099702898772
https://us.princesspolly.com/products/chani-bracelet-pack-gold?variant=40280635015252
https://us.princesspolly.com/products/kashton-bracelet-pack-multi?variant=40227571138644
https://moodssounddesign.com/
https://gumroad.com/alexiistherese
https://posh.mk/Az2WPa56YW",https://www.youtube.com/watch?v=HU45aY6OYnk
Princess Polly haul + discount code &amp; Productive Winter Night Routine | Living Alone Diaries,"https://us.princesspolly.com/
https://us.princesspolly.com/products/adella-long-sleeve-top-pink?variant=40024479563860
https://us.princesspolly.com/products/project-faux-leather-jacket-slate?variant=40044392808532
https://us.princesspolly.com/products/slatter-stockings-black
https://us.princesspolly.com/products/rixie-long-sleeve-top-black?variant=39619404365908
https://us.princesspolly.com/products/ashwood-two-piece-lace-bolero-top-black-low-impact?variant=39962165248084
https://us.princesspolly.com/products/cartwright-mini-skirt-black?variant=39921924964436
https://us.princesspolly.com/products/reeves-croc-bag-black?variant=40129753940052
https://us.princesspolly.com/products/tamba-cargo-jeans-denim?variant=39899798962260
https://us.princesspolly.com/products/achillies-riding-boot-black?variant=40007070187604
https://us.princesspolly.com/products/olsen-coat-black
https://us.princesspolly.com/products/penny-lane-loafer-black-high-shine
https://us.princesspolly.com/products/mora-sunglasses-black",https://www.youtube.com/watch?v=bFDVrKpl_Ic
PRINCESS POLLY HAUL | Petite clothing Nov 2023 + Discount code,"https://www.princesspolly.com.au/products/new-balance-m2002-grey
https://www.princesspolly.com.au/products/emily-maxi-dress-white
https://www.princesspolly.com.au/products/emily-maxi-dress-red
https://www.princesspolly.com.au/products/nellie-midi-dress-yellow-floral
https://www.princesspolly.com.au/products/maidenwell-contrast-top-black
https://www.princesspolly.com.au/products/capone-vest-ivory?refSrc=6642593333320&nosto=productpage-nosto-9
https://www.princesspolly.com.au/products/dreaming-top-black?refSrc=6719902384200&nosto=productpage-nosto-9
https://www.princesspolly.com.au/products/candyce-top-pink
https://www.epidemicsound.com",https://www.youtube.com/watch?v=naxDf60kzso
"PRINCESS POLLY HAUL | spring haul 2024, try on haul","https://us.princesspolly.com/
https://us.princesspolly.com/products/mateo-shorts-black?variant=39912925298772
https://us.princesspolly.com/products/buress-top-white?variant=39655705575508
https://us.princesspolly.com/products/peterson-cargo-mini-skirt-khaki?variant=39755434295380
https://us.princesspolly.com/products/all-tied-up-bodysuit-black?variant=40092446097492
https://us.princesspolly.com/products/katandra-off-shoulder-top-grey?variant=40087432200276
https://us.princesspolly.com/products/liana-sweater-jumper-grey?variant=39606478864468
https://us.princesspolly.com/products/davie-strapless-playsuit-black?variant=39775427788884
https://us.princesspolly.com/products/trender-top-white?variant=40163248341076
https://us.princesspolly.com/products/cabarita-lounge-denim-jeans-mid-wash-petite?variant=40045986512980",https://www.youtube.com/watch?v=fnF4BzJFl3M
creating my DREAM SPRING WARDROBE 2024 *princess polly try-on haul*,"https://us.princesspolly.com/
https://us.princesspolly.com/products/archer-pants-slate-eco-petite?variant=39818183606356
https://us.princesspolly.com/products/odette-mini-dress-pink-multi?variant=39934449975380
https://us.princesspolly.com/products/racerr-sneakers-white?variant=30938410451028
https://us.princesspolly.com/products/tahini-mini-dress-blue?variant=31354779795540
https://us.princesspolly.com/products/mulligan-bag-white?variant=39527817150548
https://us.princesspolly.com/products/creeper-sunglasses-pearl-white?variant=32555116298324
https://us.princesspolly.com/products/rehna-top-white?variant=39977810296916
https://us.princesspolly.com/products/ferran-corset-top-grey-pinstripe?variant=40047618818132
https://us.princesspolly.com/products/ferran-mini-skirt-grey-pinstripe?variant=40047626092628
https://us.princesspolly.com/products/billini-yazmin-heels-white?variant=32503742562388
https://www.amazon.com/shop/influencer-25eb0a83?&linkCode=sl2&tag=meagancarioti-20
https://www.amazon.com/hz/wishlist/ls/CF25THN1I5NI?ref_=wl_share
https://www.goodreads.com/user/show/69992756-meagan-carioti
https://evryjewels.com/?ref=MEAGAN",https://www.youtube.com/watch?v=lnSUeZ1YZGc
"$1000 Princess Polly spring try-on haul 🛒👛 building a capsule wardrobe, sweaters, sets, denim!","https://us.princesspolly.com/
https://us.princesspolly.com/products/cassiopeia-set-beige
https://us.princesspolly.com/products/beller-top-pink
https://us.princesspolly.com/products/carrow-strapless-top-red
https://us.princesspolly.com/products/archer-pants-pinstripe-grey-petite
https://us.princesspolly.com/products/holland-jeans-denim-eco-petite
https://us.princesspolly.com/products/organic-cotton-continental-breakfast-tee-white
https://us.princesspolly.com/products/ryanna-sweater-white
https://us.princesspolly.com/products/harmony-sweater-blue
https://us.princesspolly.com/products/impala-shorts-mid-wash-denim
https://us.princesspolly.com/products/early-riser-sleep-shirt-pink-stripe
https://us.princesspolly.com/products/early-riser-sleep-shorts-pink-stripe
https://us.princesspolly.com/products/goldsmith-pu-bomber-jacket-brown
https://us.princesspolly.com/products/maidenwell-contrast-top-black
https://us.princesspolly.com/products/anneke-collared-cardigan-black
https://us.princesspolly.com/products/tailor-maxi-dress-white
https://us.princesspolly.com/products/karlson-striped-cardigan-cream-black
https://us.princesspolly.com/products/peta-jain-piper-bag-chocolate-croc
https://us.princesspolly.com/products/caterina-hair-clip-red
https://jordan-bauth-merch.creator-spring.com/listing/aboard-with-jord-2024?product=227
https://www.goodreads.com/user/show/146052583
https://1stphorm.com/products/level-1?variant=31157418164310/?a_aid=jbauth
https://youtu.be/sN-MxmIUPMI
https://youtu.be/tkwVdb5Kkv4
https://youtu.be/rO0HK2-3hUs
https://youtu.be/xGIQ2ZuxyNw
https://youtu.be/7-cagan1QJI
https://youtu.be/ciCsV8HFJTg
https://youtu.be/yItGh8ZenQw
https://vsco.co/jbauth/gallery
https://poshmark.com/closet/jbauth
https://bit.ly/3zGEb18
https://www.magicmind.co/jordanb
https://bit.ly/3jvNPhg",https://www.youtube.com/watch?v=uQjM4NwjLWM
HUGE Princess Polly Haul &amp; Try-On | Winter Collection,"https://us.princesspolly.com/
https://us.princesspolly.com/products/wyoming-blazer-slate?variant=39676989767764
https://us.princesspolly.com/products/gerwig-pants-black?variant=39884333514836
https://us.princesspolly.com/products/rick-jumper-white-beige?variant=39727103049812
https://us.princesspolly.com/products/gaskin-long-sleeve-top-black?variant=40044373213268
https://us.princesspolly.com/products/judeth-long-sleeve-top-grey?variant=40052627013716
https://us.princesspolly.com/products/maidenwell-contrast-top-pink?variant=40075978637396
https://us.princesspolly.com/products/cosy-up-long-sleeve-boucle-mini-dress-cream
https://us.princesspolly.com/products/harmony-knit-sweater-burgundy?variant=40044388974676
https://us.princesspolly.com/products/mild-collared-sweater-cream-black?variant=40077487079508
https://us.princesspolly.com/products/alethea-set-champagne?variant=39886064222292",https://www.youtube.com/watch?v=mJjqFDskYbo
HUGE Fall Princess Polly Haul 2023 *HONEST REVIEW* | Trendy Fall Outfit Ideas (w/ DISCOUNT CODE),"https://us.princesspolly.com/
https://us.princesspolly.com/products/fadyen-bias-cut-maxi-dress-burgunday?variant=40047633268820
https://us.princesspolly.com/products/zurie-set-black?variant=40016841637972
https://us.princesspolly.com/products/matilde-set-purple?variant=40034706915412
https://us.princesspolly.com/products/esau-top-ivory?variant=39970684534868
https://us.princesspolly.com/products/santorini-knit-maxi-skirt-green?variant=40016895934548
https://us.princesspolly.com/products/springer-jacket-beige?variant=39998443814996
https://us.princesspolly.com/products/tagula-off-the-shoulder-top-burgundy?variant=40044363317332
https://us.princesspolly.com/products/westaway-pants-burgundy?variant=40044391039060
https://us.princesspolly.com/products/hendrie-lace-mini-dress-black?variant=40067013902420
https://us.princesspolly.com/products/field-daisies-corset-green?variant=39686630670420
https://us.princesspolly.com/products/abner-cable-cardigan-cream?variant=40013343391828
https://us.princesspolly.com/products/belgrove-moto-jacket-snow-wash-denim?variant=40044389597268
https://us.princesspolly.com/products/aldine-top-ivory?variant=39923485343828
https://us.princesspolly.com/products/emilee-top-white-floral?variant=39934410817620
https://us.princesspolly.com/products/windsor-smith-baddest-black-stretch-sock-boots?variant=39524911317076
https://www.depop.com/jvsminescloset
https://youtu.be/FBJQWL3_zkU",https://www.youtube.com/watch?v=sLjdGTM7gKI
"DAYS IN MY LIFE VLOG| $500 Princess Polly spring haul, my workouts, &amp; no more 3:50am mornings?","https://us.princesspolly.com/collections/spring
https://us.princesspolly.com/products/water-based-pu-ma-belle-sandals-all-white?variant=39604277674068
https://us.princesspolly.com/products/tropicana-shorts-eco-denim?variant=39670764929108
https://us.princesspolly.com/products/paigey-cupro-set-khaki-1?variant=39805977329748
https://us.princesspolly.com/products/jayalen-halter-romper-ecru?variant=40212886618196
https://us.princesspolly.com/products/lou-carpenter-denim-shorts-washed-black?variant=40036986814548
https://us.princesspolly.com/products/thread-together-x-pp-love-club-baby-tee-pink?variant=40206256078932
https://us.princesspolly.com/products/cammie-knit-set-white?variant=39606522478676
https://us.princesspolly.com/products/koko-mini-dress-orange?variant=40004725309524
https://us.princesspolly.com/products/nellie-hair-scarf-yellow?variant=39871560974420
https://us.princesspolly.com/products/recycled-metal-love-let-go-bracelet-set?variant=39446994387028
https://us.princesspolly.com/products/recycled-metal-spade-ring-set?variant=39452059992148",https://www.youtube.com/watch?v=OSeTLENlfhs
